user,course
U_8123683,C_course-v1:TsinghuaX+30240184+sp
U_235996,C_course-v1:RiceX+AdvENVSCI_1x+sp
U_7140489,C_course-v1:TsinghuaX+TSINGHUA107+2019_T1
U_886050,C_course-v1:TsinghuaX+00690242+sp
U_328771,C_course-v1:TsinghuaX+00701032X+sp
U_2775639,C_course-v1:ACCA+MA2_X+sp
U_5339813,C_course-v1:AdelaideX+humbio101+sp
U_699597,C_course-v1:TsinghuaX+34100325_X+sp
U_1275332,C_course-v1:TsinghuaX+TsinghuaMandarin01+sp
U_9710560,C_course-v1:TsinghuaX+00670122X+sp
U_8390127,C_course-v1:TsinghuaX+00701032X+sp
U_120661,C_course-v1:BNU+0610073981+2019_T1
U_6889781,C_course-v1:HUBU+2017022703X+sp
U_8122375,C_course-v1:TsinghuaX+30640014X+sp
U_7278633,C_course-v1:TsinghuaX+70167012X+sp
U_6834582,C_course-v1:CQU+ICE20012+sp
U_13086,C_course-v1:TsinghuaX+60610231+2019_T1
U_560125,C_course-v1:TsinghuaX+20350033X+sp
U_6547698,C_course-v1:TsinghuaX+Thesis2016X+sp
U_401902,C_course-v1:SDSNAssociation+TOW001+sp
U_5248211,C_course-v1:TsinghuaX+80590952X+sp
U_6254600,C_course-v1:TsinghuaX+00690092X+sp
U_8242091,C_course-v1:TsinghuaX+THESIS2016X_tv+2016_T1
U_5791890,C_course-v1:TsinghuaX+30260032X_+2019_T1
U_7020848,C_course-v1:TsinghuaX+THESIS2016X_tv+2016_T1
U_6239563,C_course-v1:TsinghuaX+00040132X+sp
U_7185431,C_course-v1:BIT+PHY1701701+sp
U_10140938,C_course-v1:TsinghuaX+2070071X+2017_T1
U_9138229,C_course-v1:TsinghuaX+MOOC101_2015_2+sp
U_224167,C_course-v1:TsinghuaX+00612643X+sp
U_6580403,C_course-v1:TsinghuaX+00510663X+2019_T1
U_9715450,C_course-v1:CSU+82150112201+sp
U_1512421,C_course-v1:HUBU+HU08002X+sp
U_9889245,C_course-v1:TsinghuaX+20140064_2X+2018_sp
U_8727947,C_course-v1:TsinghuaX+60700052X+2019_T2
U_10175538,C_course-v1:ZUELX+B0601353+2018_T2
U_630371,C_course-v1:JSUX+2017011101X+sp
U_9412969,C_course-v1:TsinghuaX+30240184+sp
U_9227255,C_course-v1:TsinghuaX+30700313X+sp
U_4187344,C_course-v1:TsinghuaX+40160092X+2019_T1
U_1728291,C_course-v1:TsinghuaX+30240184_2X+sp
U_6332624,C_course-v1:UQx+Crime101x+sp
U_5217777,C_course-v1:UESTC+2017071301X+sp
U_687284,C_course-v1:TsinghuaX+00690212X-2+sp
U_1096789,C_course-v1:TsinghuaX+THU201605X+sp
U_1554210,C_course-v1:TsinghuaX+10610224X+sp
U_10277816,C_course-v1:TsinghuaX+60240202X+sp
U_10863128,C_course-v1:TsinghuaX+THU00001X+2019_T1
U_6167677,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_470257,C_course-v1:TsinghuaX+2018032801X+2018_T1
U_505236,C_course-v1:TsinghuaX+00670122X+sp
U_6239929,C_course-v1:PekingX+Peking001x+_
U_2905775,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_6489341,C_course-v1:TsinghuaX+30240184+sp
U_2490869,C_course-v1:GZHU+20180718001+2019_T1
U_2508893,C_course-v1:TsinghuaX+30700313X+sp
U_7142561,C_course-v1:BIFT+1301990078+2019_T1
U_7091525,C_course-v1:TsinghuaX+400182X+sp
U_6408936,C_course-v1:TsinghuaX+30670043X+sp
U_8490003,C_course-v1:Tsinghua+Thesis2017X+2017_T1
U_10869,C_course-v1:TsinghuaX+64100033X+SP
U_9444482,C_course-v1:TsinghuaX+30150153X+sp
U_7582971,C_course-v1:HUBU+2017022703X+sp
U_6071692,C_course-v1:TsinghuaX+00690212X+sp
U_4588724,C_course-v1:TsinghuaX+MOOC101_2015_2+sp
U_610664,C_course-v1:MITx+15_390_2x+sp
U_207144,C_course-v1:MITx+6_00_1x+sp
U_3003128,C_course-v1:TsinghuaX+30640014X+sp
U_8190494,C_course-v1:TsinghuaX+20250103X+sp
U_252747,C_course-v1:TsinghuaX+00690863X+sp
U_647660,C_course-v1:TsinghuaX+70250023X_2015_2+sp
U_8404856,C_course-v1:Tsinghuax+30130123X+sp
U_6941732,C_course-v1:TsinghuaX+20330334X_2015_2+sp
U_413566,C_course-v1:TsinghuaX+90640012X_1+2019_T1
U_5353430,C_course-v1:TsinghuaX+10430575X+2019_T1
U_545306,C_course-v1:TsinghuaX+20430064_2X+sp
U_10521265,C_course-v1:gmc+3060511+2018_T2
U_2464581,C_course-v1:TsinghuaX+20740084X+2019_T1
U_2007523,C_course-v1:TsinghuaX+30640014X+sp
U_7415411,C_course-v1:TsinghuaX+30240184+sp
U_446016,C_course-v1:TsinghuaX+00740123_X+sp
U_322059,C_course-v1:TsinghuaX+00612642X+sp
U_6494430,C_course-v1:TsinghuaX+40510293X+2019_T1
U_8436739,C_course-v1:TsinghuaX+70000662+2019_T1
U_10197569,C_course-v1:TsinghuaX+2018031901X+2019_T1
U_2736517,C_course-v1:TsinghuaX+30700313X+sp
U_9035797,C_course-v1:TsinghuaX+10610183_2X+sp
U_9152806,C_course-v1:TsinghuaX+30150303X+sp
U_8657153,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
U_3176926,C_course-v1:TsinghuaX+60700052X+2019_T2
U_4351214,C_course-v1:TsinghuaX+70612463X+2019_T1
U_9016798,C_course-v1:HUBU+2017022703X+sp
U_3122432,C_course-v1:TsinghuaX+20250103X+sp
U_8853070,C_course-v1:XJTU+COMP200853+sp
U_6705966,C_course-v1:TsinghuaX+00690242+sp
U_1103245,C_course-v1:UC_BerkeleyX+CS_184_1x+sp
U_7100294,C_course-v1:TsinghuaX+30640014X+sp
U_9415550,C_course-v1:TsinghuaX+30700313X+sp
U_252353,C_course-v1:TsinghuaX+00701032X+sp
U_149849,C_course-v1:TsinghuaX+80000901X_1+sp
U_324070,C_course-v1:SEU+00690803+Sp
U_4815227,C_course-v1:TsinghuaX+34100325_X+sp
U_10610423,C_course-v1:USTC+2017011402X+2017_T1
U_10397966,C_course-v1:TsinghuaX+30260112X+sp
U_3853176,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp
U_7722966,C_course-v1:TsinghuaX+30700313X+sp
U_6944754,C_course-v1:JXUST+JXUST2016001+2016_T2
U_6909552,C_course-v1:TsinghuaX+20250103X+sp
U_8798004,C_course-v1:TsinghuaX+34000888X+sp
U_422087,C_course-v1:TsinghuaX+20220053X_2015_T2+sp
U_214439,C_course-v1:TsinghuaX+30240243X+sp
U_27602,C_course-v1:TsinghuaX+00690242+sp
U_10875222,C_course-v1:SXPI+40281x+2019_T1
U_8265119,C_course-v1:UST+UST001+sp
U_2294452,C_course-v1:Tsinghua+20150001+sp
U_1790115,C_course-v1:TsinghuaX+THESIS2016X_tv+2016_T1
U_3844796,C_course-v1:TsinghuaX+00690212X+sp
U_154067,C_course-v1:TsinghuaX+THUSEM002+2019_T1
U_71904,C_course-v1:TsinghuaX+00670122X+sp
U_1091935,C_course-v1:UC_BerkeleyX+CS_184_1x+sp
U_11487578,C_course-v1:TsinghuaX+400182X+2019_T1
U_7991840,C_course-v1:SCUT+145033+sp
U_3696433,C_course-v1:TsinghuaX+THU00001X+2019_T1
U_8476652,C_course-v1:TsinghuaX+20250103X+sp
U_6948398,C_course-v1:HUBU+2017030501X+sp
U_9263566,C_course-v1:TsinghuaX+10620204X+2019_T1
U_7082857,C_course-v1:TsinghuaX+30640014X+sp
U_4497449,C_course-v1:TsinghuaX+64100033X+2019_T1
U_7141628,C_course-v1:TsinghuaX+20330334X_2015_2+sp
U_3828592,C_course-v1:TsinghuaX+70660542X+2015_T2
U_2443115,C_course-v1:TsinghuaX+30240243X+sp
U_457444,C_course-v1:WUT+1022817X+sp
U_6909230,C_course-v1:TsinghuaX+10421075X_2015_2+sp
U_267623,C_course-v1:cup+20180130+sp
U_644916,C_course-v1:TsinghuaX+30640014X+sp
U_6649528,C_course-v1:MITx+6_002x+sp
U_8562774,C_course-v1:TsinghuaX+2018032801X+2018_T1
U_8098252,C_course-v1:TsinghuaX+0350161X_2015_T2+sp
U_10300993,C_course-v1:TsinghuaX+60240202X+sp
U_413109,C_course-v1:TsinghuaX+80515522X+sp
U_6158197,C_course-v1:TsinghuaX+10610224X+sp
U_9460212,C_course-v1:TsinghuaX+00310222X+sp
U_2604571,C_course-v1:TsinghuaX+30240243X+sp
U_1580694,C_course-v1:SEU+00690803+Sp
U_9888223,C_course-v1:TsinghuaX+64100033X+SP
U_8430411,C_course-v1:TsinghuaX+20250064+sp
U_8411236,C_course-v1:TsinghuaX+30700313X+sp
U_10918407,C_course-v1:TsinghuaX+AP000014X+2019_T1
U_10482644,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_2909315,C_course-v1:LZU+20171113+SP
U_208654,C_course-v1:TsinghuaX+10800032X+sp
U_7583238,C_course-v1:TsinghuaX+30260112X+sp
U_6076782,C_course-v1:TsinghuaX+20330334X_2015_2+sp
U_1556110,C_course-v1:TsinghuaX+30240184_2X+sp
U_6222904,C_course-v1:TsinghuaX+20430064X+sp
U_5221563,C_course-v1:TsinghuaX+20330334X_2015_2+sp
U_767912,C_course-v1:TsinghuaX+30240184_2X+sp
U_9522430,C_course-v1:TsinghuaX+30803273X+2019_T1
U_10253852,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_405986,C_course-v1:CUNY+20171211001+sp
U_6840880,C_course-v1:TsinghuaX+10610224X+sp
U_7090811,C_course-v1:TsinghuaX+34000888X+sp
U_9599092,C_course-v1:TsinghuaX+10421075X_2015_2+sp
U_8509960,C_course-v1:TsinghuaX+90640012X+sp
U_97248,C_course-v1:NBCC+NBCC000201+_sp
U_125561,C_course-v1:TsinghuaX+00740043X_2015_T2+sp
U_7205832,C_course-v1:TsinghuaX+30640014X+sp
U_8663498,C_course-v1:TsinghuaX+00701032X+sp
U_7011306,C_course-v1:Tsinghua+Thesis2017X+2017_T1
U_7111996,C_course-v1:TsinghuaX+30806872X+sp
U_7111999,C_course-v1:TsinghuaX+00040132X+sp
U_706405,C_course-v1:TsinghuaX+10430494X_2015_2+sp
U_4420044,C_course-v1:TsinghuaX+70120073X+sp
U_3232830,C_course-v1:GXUST+2017041901X+2017_T1
U_9530011,C_course-v1:TsinghuaX+00690342X+sp
