id,name,about,name_trans,about_trans
S_BNU,北京师范大学,北京师范大学（Beijing Normal University）简称“北师大”，由中华人民共和国教育部直属，中央直管副部级建制，位列“211工程”、“985工程”，入选国家“珠峰计划”、“2011计划”、“111计划”、“卓越法律人才教育培养计划”，设有研究生院，是一所以教师教育、教育科学和文理基础学科为主要特色的综合性全国重点大学。,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_UQx,昆士兰大学,昆士兰大学（The University of Queensland），简称昆大，世界50强名校 、澳大利亚顶尖学府、著名高等科研学府之一。澳大利亚常春藤名校联盟“八大名校”之一,university of queensland,the university of queensland referred to as queensland university is one of the worlds top 50 universities australias top universities and a famous higher scientific research institution one of the top eight universities of the australian ivy league
S_UESTC,电子科技大学,电子科技大学（University of Electronic Science and Technology of China）坐落于四川省会成都市，直属中华人民共和国教育部，由教育部、工业和信息化部、四川省和成都市共建。位列“世界一流大学和一流学科”、“985工程”、“211工程”，入选2011计划、111计划、卓越工程师教育培养计划、国家建设高水平大学公派研究生项目、中国政府奖学金来华留学生接收院校、全国深化创新创业教育改革示范高校，两电一邮成员。是一所完整覆盖整个电子类学科，以电子信息科学技术为核心，以工为主，理工渗透，理、工、管、文、医协调发展的多科性研究型全国重点大学，被誉为“中国电子类院校的排头兵”。,university of electronic science and technology of china,the university of electronic science and technology of china is located in chengdu the capital of sichuan province it is directly under the ministry of education of the peoples republic of china and is jointly established by the ministry of education the ministry of industry and information technology sichuan province and chengdu city ranked among the worlds first class universities and first class disciplines 985 project and 211 project selected into the 2011 plan the 111 plan the outstanding engineer education and training plan the national high level university postgraduate program and the chinese government scholarship to accept international students in china colleges and universities national demonstration colleges and universities for deepening innovation and entrepreneurship education reform members of two e mails and one post it is a multidisciplinary research oriented national key university that completely covers the entire electronic disciplines with electronic information science and technology as the core engineering as the main focus science and engineering as the infiltration and the coordinated development of science engineering management liberal arts and medicine it is known as the vanguard of chinas electronics colleges
S_BIT,北京理工大学,北京理工大学（Beijing Institute of Technology）简称北理工，由中华人民共和国工业和信息化部直属，中央直管副部级建制，是国家“双一流”A类世界一流大学[1]  、“211工程”、“985工程”首批重点建设高校；是“中俄工科大学联盟”、“卓越大学联盟”成员[2]  ；入选“111计划”、“2011计划”、“卓越工程师教育培养计划”、“国家建设高水平大学公派研究生项目”,beijing institute of technology,beijing institute of technology referred to as bit is directly under the ministry of industry and information technology of the peoples republic of china and is directly managed by the central government at the deputy ministerial level it is a national double first class class a world class university 1 and 211 project  the first batch of key universities under the 985 project a member of the china russia engineering university alliance and the excellent university alliance 2 selected into the 111 plan 2011 plan excellent engineer education and training plan nationally sponsored graduate program for high level universities
S_JNU,暨南大学,暨南大学（Jinan University），简称“”暨大（JNU），位于广东省广州市，是中国第一所由国家创办的华侨最高学府，是中央部属高校、全国重点大学，直属“国务院侨务办公室”领导，被誉为“中国第一侨校”。学校是国家“211工程”、“985工程优势学科创新平台”重点建设高校，国家“双一流”世界一流学科建设高校，教育部、国侨办、广东省三方签约重点共建大学，教育部全国首批深化创新创业教育改革示范高校；入选国家“111计划”、“2011计划”、“卓越医生教育培养计划”、“卓越法律人才教育培养计划”、“教育部人文社会科学重点研究基地”、“国家建设高水平大学公派研究生项目”、“海外高层次人才引进计划”；是全国首批试行学分制的高校，最早在综合性大学里开办医学院的大学，最早设立华侨华人问题研究机构的大学，最早创设商科的大学；设有研究生院，具有推荐免试研究生资格。,jinan university,jinan university referred to as jnu is located in guangzhou city guangdong province it is chinas first state founded highest institution for overseas chinese it is a university affiliated to the central government a national key university and directly under the overseas chinese affairs office of the state council leader it is known as chinas no 1 overseas chinese school the school is a key university in the national 211 project and 985 project advantageous discipline innovation platform a national double first class world class discipline construction university a key co construction university signed by the ministry of education the overseas chinese affairs office and guangdong province the first batch of demonstration colleges and universities to deepen innovation and entrepreneurship education reform selected into the national 111 plan 2011 plan excellent doctor education and training plan excellent legal talent education and training plan ministry of education humanities and social sciences key research base nationally sponsored postgraduate program for building high level universities and overseas high level talent introduction plan one of the first universities in the country to trial the credit system the first university to open a medical school in a comprehensive university and the first university to establish a research institution on overseas chinese issues the university was the first to establish a business major it has a graduate school and is qualified to recommend graduate students without examinations
S_TCIS,中央社会主义学院,中央社会主义学院是中国共产党领导的统一战线性质的高等政治学院，是民主党派和无党派人士的联合党校，是统一战线人才教育培养的主阵地，是开展党的统一战线工作的重要部门，是党和国家干部教育培训体系的重要组成部分。,central institute of socialism,the central school of socialism is a higher political college with a united front nature led by the communist party of china it is a joint party school for democratic parties and non partisans it is the main front for the education and training of united front talents it is an important department for carrying out the partys united front work it is it is an important part of the education and training system for party and state cadres
S_LUIBE,辽宁对外经贸学院,辽宁对外经贸学院位于辽宁省大连市，是2005年经国家教育部批准设立的本科层次全日制民办普通高等学校。,liaoning university of international business and economics,liaoning university of foreign trade and economics is located in dalian city liaoning province it is a full time private university at the undergraduate level established in 2005 with the approval of the ministry of education
S_BLCUX,北京语言大学,北京语言大学是中国唯一一所以对来华留学生进行汉语、中华文化教育为主要任务的国际型大学，素有“小联合国”之称；学校对中国学生进行外语、中文、信息科学、经济、艺术等专业教育，同时承担着培养汉语师资、出国留学预备人员出国前的外语培训工作等任务。北语已经发展成为一所以语言教学与研究为特色和优势，中文、外语及相关学科协同发展的多科性大学，学科涵盖文学、经济学、法学、工学、历史学、教育学、管理学和艺术学等八个门类。,beijing language and culture university,beijing language and culture university is the only international university in china whose main mission is to educate international students in chinese language and chinese culture it is known as the little united nations the school educates chinese students in foreign languages chinese information science economics art and other professional education are also responsible for the training of chinese teachers and foreign language training for preparatory personnel to study abroad before going abroad buil has developed into a multi disciplinary university with language teaching and research as its characteristics and advantages and the coordinated development of chinese foreign languages and related disciplines the disciplines cover literature economics law engineering history education management and art and other eight categories
S_HNU,湖南大学,湖南大学（Hunan University），简称“湖大(HNU)”，坐落于中国历史文化名城湖南长沙市，隶属于中华人民共和国教育部，由教育部、中华人民共和国工业和信息化部、湖南省人民政府、国防科技工业局四方共同建设，是全国重点大学，位列双一流、211工程、985工程，入选111计划、2011计划、千人计划、卓越法律人才教育培养计划、卓越工程师教育培养计划、PACE计划，建有中国书院博物馆、国家超级计算长沙中心，是一所历史悠久、蜚声中外的综合类研究型大学，亦是国际艺术、设计与媒体院校联盟(Cumulus)、金砖国家网络大学等国际组织重要成员和AMBA国际认证成员,hunan university,hunan university referred to as hnu is located in changsha hunan a famous historical and cultural city in china it is affiliated to the ministry of education of the peoples republic of china and is composed of the ministry of education the ministry of industry and information technology of the peoples republic of china and the peoples government of hunan province jointly constructed by the government and the national defense science technology and industry administration it is a national key university and ranks among the double first class 211 project and 985 projects it has been selected into the 111 plan the 2011 plan the thousand talents plan the outstanding legal talent education and training plan and the outstanding engineer education and training plan the pace project includes the china academy museum and the national supercomputing changsha center it is a comprehensive research university with a long history and is well known at home and abroad it is also a member of the international alliance of art design and media schools cumulus and the brics network university important members of international organizations and amba international certification members
S_rcoe,教育部在线教育研究中心,"根据教育部高教司2013年12月17日《关于批准设立教育部在线教育研究中心的通知》（教高司函﹝2013﹞131号）精神，2014年4月29日，教育部在线教育研究中心在清华大学正式成立。中心现设学术委员会，学术委员会确定中心学术研究方向，审议中心各类科研立项。中心日常工作由清华大学在线教育办公室承担。""",ministry of education online education research center,according to the spirit of the notice on approving the establishment of the online education research center of the ministry of education issued by the department of higher education of the ministry of education on december 17 2013 jiaogao division letter 2013 no 131 on april 29 2014 the online education research center of the ministry of education was established in tsinghua university was officially established the center currently has an academic committee which determines the academic research direction of the center and reviews various scientific research projects of the center the daily work of the center is undertaken by the tsinghua university online education office 
S_TJU,同济大学,同济大学（Tongji University），简称“同济”，是中华人民共和国教育部直属，由教育部、国家海洋局和上海市共建的全国重点大学，是历史悠久、享有盛誉的中国著名高等学府，是国家“双一流”、“211工程”、“985工程”重点建设高校，也是收生标准最严格的中国大学之一；入选“2011计划”、“珠峰计划”、“卓越工程师计划”、卓越法律人才教育培养计划、卓越医生教育培养计划、“111计划”、中美“10+10”计划入选高校；是环境与可持续发展合作联盟、国际设计艺术院校联盟、21世纪学术联盟、卓越大学联盟、中俄工科大学联盟、中欧工程教育平台、同济—伯克利工程联盟成员，为中管副部级院校。,tongji university,tongji university referred to as tongji is a national key university directly under the ministry of education of the peoples republic of china and jointly built by the ministry of education the state oceanic administration and shanghai municipality it is a famous chinese institution of higher learning with a long history and high reputation it is a key university in the national double first class 211 project and 985 project and is also one of the chinese universities with the strictest admission standards selected into the 2011 plan everest plan excellent engineer plan the legal talent education and training program the excellent doctor education and training program the 111 plan and the sino us 1010 program were selected into colleges and universities it is a member of the environment and sustainable development cooperation alliance the international design and art school alliance the 21st century academic alliance and the excellence it is a member of the university alliance the china russia engineering university alliance the china europe engineering education platform and the tongji berkeley engineering alliance it is a vice ministerial institution under the central government
