id,name,about,id_trans,name_trans,about_trans
T_方维奇,方维奇,方维奇，男，陕西工业职业技术学院教师，讲师。主持并参与院级科研项目3项，发表教科研论文13篇，主编教材2本。多次获得全国高职高专教师教学能力大赛一等奖，并指导学生获得技能竞赛一等奖。,t_fangweich,fangweiji,fang weiwei male teacher and lecturer at shaanxi industrial vocational and technical college hosted and participated in 3 college level scientific research projects published 13 teaching and scientific research papers and edited 2 textbooks he has won the first prize in the national higher vocational and college teacher teaching ability competition many times and guided students to win the first prize in the skills competition
T_范茂魁,范茂魁,范茂魁（1979-）男，教授，硕士学位，教龄17年，主要从事《消防燃烧学》、《化学基础》、《危险化学品安全管理基础》等课程的教学与研究。,t_fan maokui,fan maokui,fan maokui 1979  male professor masters degree teaching experience for 17 years mainly engaged in teaching and research of firefighting and combustion science basics of chemistry basics of safety management of hazardous chemicals and other courses
T_连小珉,连小珉,"连小珉，男，1955年生于重庆。清华大学教授，清华大学机械工程学位分委会副主席。中国汽车工程学会汽车电子技术分会和汽车智能交通分会副主任、振动工程学报编委。
历任清华大学校学术委员会委员、清华大学汽车工程系学术委员会主任。在清华大学取得学士、硕士和博士学位。在日本五十铃汽车公司做过汽车设计研修，在美国加州伯克利大学做过智能交通系统访问学者。
主要研究：噪声振动控制、汽车电子控制、车辆动态测控。著有《动态信号内积分析原理》一书，在清华大学主讲研究生学位课程“动态测试与分析”。获得过北京市优秀教师、中国汽车工业优秀人才等称号。获得过国家发明奖（二等奖1）。发表过研究论文百余篇，获得过国家授权发明专利十余项。",t_lian xiaomin,lian xiaomin,"lian xiaomin male was born in chongqing in 1955 professor of tsinghua university vice chairman of the mechanical engineering degree subcommittee of tsinghua university deputy director of the automotive electronics technology branch and automotive intelligent transportation branch of the china society of automotive engineers and editorial board member of the journal of vibration engineering
he has served as a member of the academic committee of tsinghua university and the director of the academic committee of the department of automotive engineering of tsinghua university obtained bachelors masters and doctoral degrees from tsinghua university he has done automotive design training at japans isuzu motors company and has been a visiting scholar on intelligent transportation systems at the university of california berkeley usa
main research noise and vibration control automotive electronic control vehicle dynamic measurement and control he is the author of the book principles of dynamic signal inner product analysis and teaches the postgraduate degree course dynamic testing and analysis at tsinghua university he has won titles such as beijings outstanding teacher and chinas automotive industry outstanding talent won the national invention award second prize 1 he has published more than 100 research papers and obtained more than ten nationally authorized invention patents"
T_张德顺,张德顺,"张德顺,1964年生,同济大学建筑与城市规划学院高密度人居环境生态与节能 教育部重点实验室教授、博士生导师。主要研究方向为园林植物与应用、园林植物景观学原理与方 法、生态与园林规划设计、气候变化景观应对、园林小气候环境规划、风景旅游区规划,城市生态基 础设施规划等。",t_zhang deshun,zhang deshun,zhang deshun born in 1964 is a professor and doctoral supervisor at the key laboratory of ecology and energy conservation of high density human settlements school of architecture and urban planning tongji university the main research directions are garden plants and applications principles and methods of garden plant landscape ecology and garden planning and design climate change landscape response garden microclimate environment planning scenic tourist area planning urban ecological infrastructure planning etc
T_王红,王红,王红，硕士，教授，硕士生导师。长期从事寄生虫学教学 与科研工作。教学方面，独立系统地担任了本科包括临床、预防等专业课程的教学工作。积极投身学科建设、教学改革和课程建设。主持校级质量工程、主持和参与教研教改项目多项，参加多门省级双语课程建设和多门校级精品课程建设，发表教学研究论文多篇。主编高教出版社教材多部，参编教材多部。指导的青年教师多次获得讲课比赛和多媒体课件比赛奖项。,t_wang hong,wang hong,wang hong masters degree professor masters tutor he has been engaged in teaching and scientific research of parasitology for a long time in terms of teaching he independently and systematically taught undergraduate courses including clinical prevention and other professional courses actively participate in subject construction teaching reform and curriculum construction he has presided over school level quality projects hosted and participated in many teaching and research reform projects participated in the construction of multiple provincial level bilingual courses and multiple school level quality courses and published many teaching research papers he is the editor in chief of many textbooks for higher education press and co editor of many textbooks the young teachers he mentored have won many awards in lecture competitions and multimedia courseware competitions
T_闫锋,闫锋,英语语言文学及汉语国际教育双硕士，美国亚利桑那州立大学访问学者，曾赴新西兰梅西大学进修、瑞典布莱金厄大学孔子学院从事教学工作。获红云园丁优秀教师奖、校教学比赛一等奖。主持教育厅及学校教改项目多项，发表论文10余篇，参编教材及论著6部。主讲课程为大学英语、学术英语。,t_yan feng,yan feng,he has a double masters degree in english language and literature and teaching chinese to speakers of other languages he is a visiting scholar at arizona state university in the united states he has studied at massey university in new zealand and taught at the confucius institute at blekinge university in sweden won the hongyun gardener outstanding teacher award and the first prize in the school teaching competition he has presided over many educational reform projects of the department of education and schools published more than 10 papers and participated in the compilation of 6 textbooks and books the main courses taught are college english and academic english
T_于莉,于莉,于莉，硕士，北京服装学院语言文化学院教授，出版专著2部：《新时代服饰文化产业的多模态》（英文）和《外语教育技术环境下英语教学实证研究》，作为副主编编写艺术类教材2部，参编教材4部。指导的学生参加全国英语大赛并获奖的有21名；曾荣获北京服装学院第三届青年教师大奖赛第一名及香港桑麻基金会奖教金；发表学术论文30余篇；先后主持和参与了北京市和校内教改和科研项目10余项。,t_yu li,yu li,yu li master is a professor at the school of language and culture of beijing university of fashion technology she has published 2 monographs multimodality of the clothing culture industry in the new era english and empirical research on english teaching in the technology environment of foreign language education written as deputy editor in chief he has produced 2 art textbooks and participated in the compilation of 4 textbooks he has guided 21 students to participate in the national english competition and win awards he has won the first place in the 3rd young teacher grand prix of beijing institute of fashion technology and the hong kong sangma foundation teaching fellowship he has published more than 30 academic papers he has hosted and participated in participated in more than 10 educational reform and scientific research projects in beijing and on campus
T_何海星,何海星,"何海星，从事防火教学工作2年,从事基层消防监督工作6年，能较好的把防火知识理论与实际消防工作相结合。",t_he haixing,he haixing,he haixing has been engaged in fire prevention teaching for 2 years and grassroots fire protection supervision for 6 years he can better combine fire prevention knowledge theory with practical fire protection work
T_陈薇,陈薇,"博士，教授，现任世界中医药学会联合会循证中医药再评价专家委员会副主委，中国中西医结合学会循证医学专业委员会委员, 中国医师协会循证医学专业委员会委员，中华中医药学会亚健康分会及精准医学分会委员，中国老年学学会医药保健康复委员会委员，国际Cochrane协作组织‘病人报告结局(PRO)’方法组、‘神经肌肉疾病’、‘肝胆疾病’协作评价小组成员。多个国际杂志特约审稿专家。主要从事循证医学及临床科研方法学研究。主持国家自然科学基金1项，主持北京市青年骨干个人项目1项，参与国家级科研课题5项，省部级科研课题4项。共发表专业学术论文40篇。发表SCI收录英文论文21篇，国内核心期刊专业学术论文17篇。参与编写专著11部。",t_chen wei,chen wei,doctor professor currently the vice chairman of the expert committee on re evaluation of evidence based traditional chinese medicine of the world federation of chinese medicine societies a member of the evidence based medicine professional committee of the chinese society of integrated traditional chinese and western medicine a member of the evidence based medicine professional committee of the chinese medical doctor association and the asian society of traditional chinese medicine he is a member of the health branch and precision medicine branch a member of the medicine health care and rehabilitation committee of the chinese gerontology society and a member of the international cochrane collaborations patient reported outcomes pro methods group neuromuscular diseases and hepatobiliary diseases collaborative evaluation group special reviewer for several international magazines mainly engaged in evidence based medicine and clinical research methodology research hosted 1 national natural science foundation project 1 beijing youth backbone individual project participated in 5 national level scientific research projects and 4 provincial level scientific research projects a total of 40 professional academic papers were published published 21 english papers included in sci and 17 professional academic papers in domestic core journals participated in the preparation of 11 monographs
T_靳卫萍,靳卫萍,"靳卫萍，清华大学社会科学学院经济所副教授，清华大学社科学院政治经济学研究中心秘书长、宏观经济研究部主任。主要研究方向：宏观经济学（特别是凯恩斯经济学和货币理论）。
2006年毕业于南开大学经济研究所，获经济学博士学位。2006年7月至2009年6月在清华大学人文社科学院理论经济学博士后流动站从事宏观经济研究，2009年7月出站后留校任教。2014年11月至2015年10月在美国马塞诸塞州阿默斯特分校经济系做访问学者。
校内主要讲授《经济学原理》、《中级宏观经济学》、《中国经济分析》、《中国宏观经济分析》、《生活中的经济学》、《宏观经济学中的政治经济学》等课程，对外以讲授国内外宏观经济形势为主。",t_jin weiping,jin weiping,"jin weiping is an associate professor at the institute of economics school of social sciences tsinghua university secretary general of the political economics research center and director of the macroeconomic research department school of social sciences tsinghua university main research direction macroeconomics especially keynesian economics and monetary theory
he graduated from the institute of economics of nankai university in 2006 and received a doctorate in economics from july 2006 to june 2009 he engaged in macroeconomic research at the postdoctoral station for theoretical economics school of humanities and social sciences tsinghua university after leaving the station in july 2009 he stayed at the school to teach from november 2014 to october 2015 he was a visiting scholar in the department of economics university of massachusetts amherst
the school mainly teaches courses such as principles of economics intermediate macroeconomics china economic analysis china macroeconomic analysis economics in life political economy in macroeconomics etc externally lectures mainly focus on domestic and international macroeconomic situations"
